t,acx,acy,acz,gyx,gyy,gyz,y,M,d,h,m,s,us,t,lat,lon
362,2889,-66,523,-208,489,-654,2022,7,2,22,45,43,803581,42,39.498494,-104.811699
362,2889,-66,523,-208,489,-654,2022,7,2,22,45,44,8732,1,39.498494,-104.811698
362,5396,51,1179,-68,-585,246,2022,7,2,22,45,44,8732,1,39.498494,-104.811698
362,5396,51,1179,-68,-585,246,2022,7,2,22,45,44,8732,1,39.498494,-104.811698
362,5396,51,1179,-68,-585,246,2022,7,2,22,45,44,8732,42,39.498494,-104.811698
362,4215,822,891,-149,601,288,2022,7,2,22,45,44,8732,42,39.498494,-104.811698
362,4215,822,891,-149,601,288,2022,7,2,22,45,44,8732,42,39.498494,-104.811698
362,4215,822,891,-149,601,288,2022,7,2,22,45,44,8732,42,39.498494,-104.811698
362,3767,266,238,97,-381,-652,2022,7,2,22,45,44,8732,42,39.498494,-104.811698
362,3767,266,238,97,-381,-652,2022,7,2,22,45,44,8732,42,39.498494,-104.811698
362,3767,266,238,97,-381,-652,2022,7,2,22,45,44,8732,42,39.498494,-104.811698
362,5665,104,1789,-109,-268,863,2022,7,2,22,45,44,214120,1,39.498494,-104.811698
362,5665,104,1789,-109,-268,863,2022,7,2,22,45,44,214120,1,39.498494,-104.811698
362,5665,104,1789,-109,-268,863,2022,7,2,22,45,44,214120,1,39.498494,-104.811698
362,3048,-51,451,-175,417,-512,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,3048,-51,451,-175,417,-512,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,3048,-51,451,-175,417,-512,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,5356,172,1175,-87,-378,56,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,5356,172,1175,-87,-378,56,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,5356,172,1175,-87,-378,56,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,4729,1037,928,-98,414,328,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,4729,1037,928,-98,414,328,2022,7,2,22,45,44,214120,42,39.498494,-104.811698
363,4729,1037,928,-98,414,328,2022,7,2,22,45,44,419158,1,39.498494,-104.811697
363,3680,247,448,80,-440,-550,2022,7,2,22,45,44,419158,1,39.498494,-104.811697
363,3680,247,448,80,-440,-550,2022,7,2,22,45,44,419158,1,39.498494,-104.811697
363,3680,247,448,80,-440,-550,2022,7,2,22,45,44,419158,42,39.498494,-104.811697
363,5882,235,1772,-143,-162,828,2022,7,2,22,45,44,419158,42,39.498494,-104.811697
363,5882,235,1772,-143,-162,828,2022,7,2,22,45,44,419158,42,39.498494,-104.811697
363,5882,235,1772,-143,-162,828,2022,7,2,22,45,44,419158,42,39.498494,-104.811697
363,3497,593,860,-210,613,-308,2022,7,2,22,45,44,419158,42,39.498494,-104.811697
363,3497,593,860,-210,613,-308,2022,7,2,22,45,44,419158,42,39.498494,-104.811697
363,3497,593,860,-210,613,-308,2022,7,2,22,45,44,419158,42,39.498494,-104.811697
363,5338,436,944,7,-421,-314,2022,7,2,22,45,44,632895,1,39.498505,-104.811694
363,5338,436,944,7,-421,-314,2022,7,2,22,45,44,632895,1,39.498505,-104.811694
363,5338,436,944,7,-421,-314,2022,7,2,22,45,44,632895,1,39.498505,-104.811694
363,5154,1397,928,-12,87,577,2022,7,2,22,45,44,632895,42,39.498505,-104.811694
363,5154,1397,928,-12,87,577,2022,7,2,22,45,44,632895,42,39.498505,-104.811694
363,5154,1397,928,-12,87,577,2022,7,2,22,45,44,632895,42,39.498505,-104.811694
363,3774,510,429,49,-318,-537,2022,7,2,22,45,44,632895,42,39.498505,-104.811694
363,3774,510,429,49,-318,-537,2022,7,2,22,45,44,632895,42,39.498505,-104.811694
363,3774,510,429,49,-318,-537,2022,7,2,22,45,44,632895,42,39.498505,-104.811694
363,4809,469,1166,-98,-166,428,2022,7,2,22,45,44,632895,42,39.498505,-104.811694
363,4809,469,1166,-98,-166,428,2022,7,2,22,45,44,835645,1,39.498510,-104.811693
363,4809,469,1166,-98,-166,428,2022,7,2,22,45,44,835645,1,39.498510,-104.811693
363,3978,856,802,-84,58,-145,2022,7,2,22,45,44,835645,1,39.498510,-104.811693
363,3978,856,802,-84,58,-145,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,3978,856,802,-84,58,-145,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,5025,706,1009,-111,-158,64,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,5025,706,1009,-111,-158,64,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,5025,706,1009,-111,-158,64,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,4382,1189,763,-68,135,-12,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,4382,1189,763,-68,135,-12,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,4382,1189,763,-68,135,-12,2022,7,2,22,45,44,835645,42,39.498510,-104.811693
363,4522,1066,824,-52,-193,26,2022,7,2,22,45,45,41235,1,39.498513,-104.811691
363,4522,1066,824,-52,-193,26,2022,7,2,22,45,45,41235,1,39.498513,-104.811691
363,4522,1066,824,-52,-193,26,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4478,1301,852,-66,-4,54,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4478,1301,852,-66,-4,54,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4478,1301,852,-66,-4,54,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4475,1179,758,-136,41,-8,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4475,1179,758,-136,41,-8,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4475,1179,758,-136,41,-8,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4125,1401,751,-57,-181,67,2022,7,2,22,45,45,41235,42,39.498513,-104.811691
363,4125,1401,751,-57,-181,67,2022,7,2,22,45,45,246518,1,39.498517,-104.811690
363,4125,1401,751,-57,-181,67,2022,7,2,22,45,45,246518,1,39.498517,-104.811690
364,4521,870,817,-28,-292,-32,2022,7,2,22,45,45,246518,1,39.498517,-104.811690
364,4521,870,817,-28,-292,-32,2022,7,2,22,45,45,246518,42,39.498517,-104.811690
364,4521,870,817,-28,-292,-32,2022,7,2,22,45,45,246518,42,39.498517,-104.811690
364,5101,916,1027,-54,-194,-105,2022,7,2,22,45,45,246518,42,39.498517,-104.811690
364,5101,916,1027,-54,-194,-105,2022,7,2,22,45,45,246518,42,39.498517,-104.811690
364,5101,916,1027,-54,-194,-105,2022,7,2,22,45,45,246518,42,39.498517,-104.811690
364,4528,1094,1054,-127,94,368,2022,7,2,22,45,45,246518,42,39.498517,-104.811690
364,4528,1094,1054,-127,94,368,2022,7,2,22,45,45,246518,42,39.498517,-104.811690
364,4528,1094,1054,-127,94,368,2022,7,2,22,45,45,451592,1,39.498521,-104.811688
364,4120,1148,719,-13,-195,-251,2022,7,2,22,45,45,451592,1,39.498521,-104.811688
364,4120,1148,719,-13,-195,-251,2022,7,2,22,45,45,451592,1,39.498521,-104.811688
364,4120,1148,719,-13,-195,-251,2022,7,2,22,45,45,451592,42,39.498521,-104.811688
364,5085,1151,980,-80,-100,25,2022,7,2,22,45,45,451592,42,39.498521,-104.811688
364,5085,1151,980,-80,-100,25,2022,7,2,22,45,45,451592,42,39.498521,-104.811688
364,5085,1151,980,-80,-100,25,2022,7,2,22,45,45,451592,42,39.498521,-104.811688
364,4353,1280,564,-17,-226,-136,2022,7,2,22,45,45,451592,42,39.498521,-104.811688
364,4353,1280,564,-17,-226,-136,2022,7,2,22,45,45,451592,42,39.498521,-104.811688
364,4353,1280,564,-17,-226,-136,2022,7,2,22,45,45,451592,42,39.498521,-104.811688
364,4181,1413,728,-9,-274,57,2022,7,2,22,45,45,650889,1,39.498525,-104.811686
364,4181,1413,728,-9,-274,57,2022,7,2,22,45,45,650889,1,39.498525,-104.811686
364,4181,1413,728,-9,-274,57,2022,7,2,22,45,45,650889,1,39.498525,-104.811686
364,4268,1245,551,-85,-105,27,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
364,4268,1245,551,-85,-105,27,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
364,4268,1245,551,-85,-105,27,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
364,4619,1313,631,-26,-149,161,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
364,4619,1313,631,-26,-149,161,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
364,4619,1313,631,-26,-149,161,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
364,4223,1236,733,-90,231,-57,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
364,4223,1236,733,-90,231,-57,2022,7,2,22,45,45,650889,42,39.498525,-104.811686
