t,acx,acy,acz,gyx,gyy,gyz,y,M,d,h,m,s,us,t,lat,lon
450,5276,2106,674,-85,598,629,2022,7,2,22,47,11,436189,1,39.498738,-104.811556
450,5276,2106,674,-85,598,629,2022,7,2,22,47,11,436189,1,39.498738,-104.811556
450,5276,2106,674,-85,598,629,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,3892,433,158,233,-754,-999,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,3892,433,158,233,-754,-999,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,3892,433,158,233,-754,-999,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,5928,71,2002,-89,-316,1448,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,5928,71,2002,-89,-316,1448,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,5928,71,2002,-89,-316,1448,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,2128,-43,224,-165,255,-1012,2022,7,2,22,47,11,436189,42,39.498738,-104.811556
450,2128,-43,224,-165,255,-1012,2022,7,2,22,47,11,641960,1,39.498738,-104.811557
450,2128,-43,224,-165,255,-1012,2022,7,2,22,47,11,641960,1,39.498738,-104.811557
450,6329,-100,1760,-238,-244,480,2022,7,2,22,47,11,641960,1,39.498738,-104.811557
450,6329,-100,1760,-238,-244,480,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,6329,-100,1760,-238,-244,480,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,2511,976,348,-232,1034,-168,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,2511,976,348,-232,1034,-168,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,2511,976,348,-232,1034,-168,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,5415,336,745,146,-736,-597,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,5415,336,745,146,-736,-597,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,5415,336,745,146,-736,-597,2022,7,2,22,47,11,641960,42,39.498738,-104.811557
450,4935,337,959,-41,-1,1039,2022,7,2,22,47,11,850756,1,39.498738,-104.811557
450,4935,337,959,-41,-1,1039,2022,7,2,22,47,11,850756,1,39.498738,-104.811557
450,4935,337,959,-41,-1,1039,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,3057,341,117,152,-543,-944,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,3057,341,117,152,-543,-944,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,3057,341,117,152,-543,-944,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,6016,2,1774,-181,-210,886,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,6016,2,1774,-181,-210,886,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,6016,2,1774,-181,-210,886,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,3133,623,616,-230,604,-522,2022,7,2,22,47,11,850756,42,39.498738,-104.811557
450,3133,623,616,-230,604,-522,2022,7,2,22,47,12,52349,1,39.498738,-104.811557
450,3133,623,616,-230,604,-522,2022,7,2,22,47,12,52349,1,39.498738,-104.811557
450,5507,110,1186,-80,-341,35,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,5507,110,1186,-80,-341,35,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,5507,110,1186,-80,-341,35,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,3962,942,792,-132,519,174,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,3962,942,792,-132,519,174,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,3962,942,792,-132,519,174,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,4853,427,643,87,-483,-471,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,4853,427,643,87,-483,-471,2022,7,2,22,47,12,52349,42,39.498738,-104.811557
450,4853,427,643,87,-483,-471,2022,7,2,22,47,12,257841,1,39.498738,-104.811558
451,4938,645,869,-36,-43,729,2022,7,2,22,47,12,257841,1,39.498738,-104.811558
451,4938,645,869,-36,-43,729,2022,7,2,22,47,12,257841,1,39.498738,-104.811558
451,4938,645,869,-36,-43,729,2022,7,2,22,47,12,257841,42,39.498738,-104.811558
451,3777,390,458,79,-425,-485,2022,7,2,22,47,12,257841,42,39.498738,-104.811558
451,3777,390,458,79,-425,-485,2022,7,2,22,47,12,257841,42,39.498738,-104.811558
451,3777,390,458,79,-425,-485,2022,7,2,22,47,12,257841,42,39.498738,-104.811558
451,5119,419,1289,-75,-201,538,2022,7,2,22,47,12,257841,42,39.498738,-104.811558
451,5119,419,1289,-75,-201,538,2022,7,2,22,47,12,257841,42,39.498738,-104.811558
451,5119,419,1289,-75,-201,538,2022,7,2,22,47,12,257841,42,39.498738,-104.811558
451,3830,762,487,-7,-15,-299,2022,7,2,22,47,12,462945,1,39.498737,-104.811558
451,3830,762,487,-7,-15,-299,2022,7,2,22,47,12,462945,1,39.498737,-104.811558
451,3830,762,487,-7,-15,-299,2022,7,2,22,47,12,462945,1,39.498737,-104.811558
451,4813,752,913,11,-301,88,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4813,752,913,11,-301,88,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4813,752,913,11,-301,88,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4292,1063,809,0,104,63,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4292,1063,809,0,104,63,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4292,1063,809,0,104,63,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4665,738,868,-2,-206,-21,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4665,738,868,-2,-206,-21,2022,7,2,22,47,12,462945,42,39.498737,-104.811558
451,4665,738,868,-2,-206,-21,2022,7,2,22,47,12,668289,1,39.498737,-104.811558
451,4512,1137,876,11,81,23,2022,7,2,22,47,12,668289,1,39.498737,-104.811558
451,4512,1137,876,11,81,23,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4512,1137,876,11,81,23,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4353,1088,812,57,-81,-53,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4353,1088,812,57,-81,-53,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4353,1088,812,57,-81,-53,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4707,1176,921,69,-28,77,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4707,1176,921,69,-28,77,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4707,1176,921,69,-28,77,2022,7,2,22,47,12,668289,42,39.498737,-104.811558
451,4589,1157,874,86,-30,-26,2022,7,2,22,47,12,873309,1,39.498737,-104.811558
451,4589,1157,874,86,-30,-26,2022,7,2,22,47,12,873309,1,39.498737,-104.811558
451,4589,1157,874,86,-30,-26,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4599,1080,920,86,-52,49,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4599,1080,920,86,-52,49,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4599,1080,920,86,-52,49,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4274,1151,776,153,-59,38,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4274,1151,776,153,-59,38,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4274,1151,776,153,-59,38,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4491,1491,781,273,-181,70,2022,7,2,22,47,12,873309,42,39.498737,-104.811558
451,4491,1491,781,273,-181,70,2022,7,2,22,47,13,84013,1,39.498737,-104.811557
451,4491,1491,781,273,-181,70,2022,7,2,22,47,13,84013,1,39.498737,-104.811557
451,5091,1455,892,204,7,42,2022,7,2,22,47,13,84013,1,39.498737,-104.811557
451,5091,1455,892,204,7,42,2022,7,2,22,47,13,84013,1,39.498737,-104.811557
451,5091,1455,892,204,7,42,2022,7,2,22,47,13,84013,1,39.498737,-104.811557
451,4516,1332,799,190,0,101,2022,7,2,22,47,13,184897,1,39.498737,-104.811557
451,4516,1332,799,190,0,101,2022,7,2,22,47,13,184897,1,39.498737,-104.811557
451,4516,1332,799,190,0,101,2022,7,2,22,47,13,184897,1,39.498737,-104.811557
451,4657,1505,967,337,-69,129,2022,7,2,22,47,13,184897,42,39.498737,-104.811557
451,4657,1505,967,337,-69,129,2022,7,2,22,47,13,184897,42,39.498737,-104.811557
452,4657,1505,967,337,-69,129,2022,7,2,22,47,13,184897,42,39.498737,-104.811557
452,4718,1187,1126,271,-9,103,2022,7,2,22,47,13,184897,42,39.498737,-104.811557
452,4718,1187,1126,271,-9,103,2022,7,2,22,47,13,184897,42,39.498737,-104.811557
452,4718,1187,1126,271,-9,103,2022,7,2,22,47,13,184897,42,39.498737,-104.811557
